estado,pueblo,ingreso,altitud,habitantes,region
Aguascalientes,Asientos,2006,2155,51536,norte
Aguascalientes,Calvillo,2012,1629,21049,norte
Aguascalientes,San Jose de Gracia,2015,2046,8896,norte
BC,Tecate,2012,540,108440,norte
BC Sur,Todos Santos,2006,27,5148,norte
BC Sur,Loreto,2012,5,20385,norte
Campeche,Palizada,2011,1,3089,sur
Chiapas,San Cristobal,2003,2200,158027,sur
Chiapas,Comitan,2012,1635,141800,sur
Chiapas,Chiapa de Corzo,2012,420,45077,sur
Chiapas,Palenque,2015,60,51797,sur
Chihuahua,Bocoyna (Creel),2007,2350,5026,norte
Chihuahua,Batopilas,2012,577,1220,norte
Chihuahua,Casas Grandes,2015,1471,5256,norte
Coahuila,Parras,2004,1533,44472,norte
Coahuila,Arteaga,2012,1680,15534,norte
Coahuila,Cuatro Cienegas,2012,1689,13013,norte
Coahuila,Viesca,2012,1100,3610,norte
Coahuila,Candela,2015,422,1492,norte
Coahuila,Guerrero,2015,216,2091,norte
Coahuila,Muzquiz,2018,499,69102,norte
Colima,Comala,2002,600,21544,centro
Durango,Mapimi,2012,1303,26932,norte
Durango,Nombre de Dios,2018,1736,5302,norte
Guanajuato,Dolores Hidalgo,2002,1920,67101,centro
Guanajuato,Jalpa de Canovas,2012,1747,706,centro
Guanajuato,Salvatierra,2012,1759,92411,centro
Guanajuato,Mineral de pozos,2012,2010,175608,centro
Guanajuato,Yuriria,2012,2423,70782,centro
Guanajuato,Comonfort,2018,1790,82216,centro
Guerrero,Taxco de Alarcon,2002,1778,50399,centro
Hidalgo,Huasca de Ocampo,2001,2089,538,centro
Hidalgo,Mineral del Monte,2004,2712,11149,centro
Hidalgo,Mineral del Chico,2011,2342,481,centro
Hidalgo,Huichapan,2012,2100,9853,centro
Hidalgo,Tecozautla,2015,1704,6701,centro
Hidalgo,Zimapan,2018,1779,14732,centro
Jalisco,Tapalpa,2002,2068,19506,centro
Jalisco,Tequila,2003,1199,29203,centro
Jalisco,Mazamitla,2005,2246,40000,centro
Jalisco,San Sebastian del Oeste,2011,955,5626,centro
Jalisco,Lagos de Moreno,2012,1876,172403,centro
Jalisco,Mascota,2015,1237,8801,centro
Jalisco,Talpa de Allende,2015,1383,13612,centro
