origen,destino,emigrantes,inicio_CDMX,fin_CDMX
NAY,CDMX,698,1,698
ZAC,CDMX,923,699,1621
DUR,CDMX,975,1622,2596
COL,CDMX,1033,2597,3629
BCS,CDMX,1140,3630,4769
CAM,CDMX,1264,4770,6033
COA,CDMX,1506,6034,7539
AGU,CDMX,1674,7540,9213
SLP,CDMX,2018,9214,11231
SON,CDMX,2086,11232,13317
YUC,CDMX,2186,13318,15503
CHH,CDMX,2451,15504,17954
SIN,CDMX,2561,17955,20515
TAM,CDMX,2703,20516,23218
BCN,CDMX,2999,23219,26217
TLA,CDMX,3001,26218,29218
TAB,CDMX,3253,29219,32471
ROO,CDMX,4320,32472,36791
GUA,CDMX,5429,36792,42220
NLE,CDMX,5511,42221,47731
CHP,CDMX,5714,47732,53445
QUE,CDMX,5735,53446,59180
MIC,CDMX,7069,59181,66249
JAL,CDMX,8449,66250,74698
MOR,CDMX,9750,74699,84448
HID,CDMX,10214,84449,94662
GRO,CDMX,11351,94663,106013
OAX,CDMX,13156,106014,119169
PUE,CDMX,19119,119170,138288
VER,CDMX,19743,138289,158031
Edomex,CDMX,150655,158032,308686
