"sueldo","edad"
30000,42
25000,38
22000,32
6000,23
20000,27
120000,27
35000,24
30000,34
25000,30
50000,35
8000,20
15000,33
20000,29
18000,31
45000,35
35000,40
30000,24
16000,26
17000,25
60000,44
14000,25
20000,38
40000,32
15000,23
40000,40
80000,39
37000,30
10000,38
55000,32
60000,49
22000,25
9500,46
15000,29
40000,35
20000,25
90000,40
32000,32
20000,26
18000,29
30000,32
25000,34
23000,29
16000,30
25000,25
50000,31
20000,36
60000,38
23000,27
20000,38
9000,29
25000,39
15000,27
25000,45
15000,34
30000,37
1e+05,34
10000,40
20000,23
15000,34
20000,25
24000,41
35000,38
25000,29
25000,30
40000,26
45000,29
30000,31
40000,25
50000,31
50000,41
18000,28
35000,37
20000,34
40000,39
50000,33
50000,36
30000,31
60000,40
30000,26
40000,41
20000,25
15000,34
15000,30
40000,44
25000,30
20000,41
23000,33
