"country","2019","2020","co2_change_per_capita"
"Qatar",40.619,37.019,-3.6
"Trinidad and Tobago",28.946,25.373,-3.573
"Luxembourg",15.838,13.059,-2.779
"Curacao",23.014,20.323,-2.691
"Kuwait",22.974,20.825,-2.149
"Sint Maarten (Dutch part)",16.62,14.539,-2.081
"Iceland",10.473,8.604,-1.869
"United States",15.972,14.238,-1.734
"Bonaire Sint Eustatius and Saba",13.076,11.466,-1.61
"Estonia",9.339,7.88,-1.459
"Hong Kong",5.62,4.167,-1.453
"Belgium",8.644,7.226,-1.418
"Canada",15.567,14.197,-1.37
"Greece",6.276,5.012,-1.264
"Czechia",9.431,8.215,-1.216
"Anguilla",9.378,8.227,-1.151
"Bermuda",11.166,10.028,-1.138
"Faeroe Islands",15.121,13.996,-1.125
"Saint Pierre and Miquelon",9.83,8.738,-1.092
"Australia",16.447,15.368,-1.079
"Bosnia and Herzegovina",7.527,6.528,-0.999000000000001
"South Korea",12.65,11.656,-0.994
"Aruba",8.006,7.055,-0.951000000000001
"Seychelles",5.945,4.994,-0.951000000000001
"Netherlands",8.984,8.06,-0.923999999999999
"Spain",5.381,4.468,-0.913
"New Zealand",7.839,6.942,-0.897
"Ireland",7.634,6.754,-0.880000000000001
"Austria",7.589,6.732,-0.857
"Denmark",5.353,4.522,-0.831
"Germany",8.518,7.69,-0.828
"Bahamas",6.772,5.945,-0.827
"Israel",7.324,6.51,-0.814
"Turks and Caicos Islands",5.993,5.231,-0.762
"Cyprus",6.124,5.38,-0.744
"Greenland",9.771,9.061,-0.710000000000001
"Russia",11.513,10.807,-0.706
"Portugal",4.658,3.961,-0.697000000000001
"Slovenia",6.738,6.043,-0.695
"Serbia",5.624,4.937,-0.686999999999999
"Montserrat",5.732,5.065,-0.667
"Libya",8.043,7.382,-0.661
"Mexico",3.414,2.769,-0.645
"Bulgaria",6.032,5.389,-0.643
"British Virgin Islands",5.239,4.605,-0.633999999999999
"Antigua and Barbuda",5.008,4.395,-0.613
"France",4.851,4.238,-0.613
"United Kingdom",5.464,4.855,-0.609
"Finland",7.691,7.091,-0.6
"United Arab Emirates",15.781,15.193,-0.588000000000001
"Italy",5.611,5.025,-0.585999999999999
"Japan",8.718,8.15,-0.568
"Slovakia",6.189,5.629,-0.56
"Saint Kitts and Nevis",4.535,3.986,-0.549
"Switzerland",4.277,3.732,-0.545
"Suriname",4.335,3.791,-0.544
"Montenegro",4.212,3.678,-0.534
"Mongolia",27.5,26.978,-0.521999999999998
"Poland",8.433,7.916,-0.516999999999999
"South Africa",8.127,7.62,-0.507000000000001
"Venezuela",3.478,2.975,-0.503
"Andorra",6.505,6.035,-0.47
"Barbados",4.234,3.782,-0.452
"Bahrain",20.984,20.546,-0.438000000000002
"Kazakhstan",15.949,15.516,-0.433
"Iraq",5.673,5.242,-0.431
"Latvia",4.011,3.591,-0.42
"North Macedonia",3.828,3.43,-0.398
"Panama",2.895,2.498,-0.397
