encuestado,pokemon,tipo_principal
1,charmander,fire
2,squirtle,water
3,squirtle,water
4,bulbasaur,grass
5,squirtle,water
6,bulbasaur,grass
7,bulbasaur,grass
8,charmander,fire
9,charmander,fire
10,bulbasaur,grass
11,bulbasaur,grass
12,charmander,fire
13,squirtle,water
14,bulbasaur,grass
15,squirtle,water
16,squirtle,water
17,charmander,fire
18,charmander,fire
19,charmander,fire
20,charmander,fire
21,squirtle,water
22,bulbasaur,grass
23,bulbasaur,grass
24,squirtle,water
25,squirtle,water
26,squirtle,water
27,squirtle,water
28,bulbasaur,grass
29,squirtle,water
30,charmander,fire
31,charmander,fire
32,bulbasaur,grass
33,bulbasaur,grass
34,charmander,fire
35,charmander,fire
36,bulbasaur,grass
37,charmander,fire
38,bulbasaur,grass
39,bulbasaur,grass
40,charmander,fire
41,squirtle,water
42,bulbasaur,grass
43,charmander,fire
44,charmander,fire
45,bulbasaur,grass
46,charmander,fire
47,bulbasaur,grass
48,squirtle,water
49,bulbasaur,grass
50,bulbasaur,grass
51,bulbasaur,grass
52,charmander,fire
53,squirtle,water
54,squirtle,water
55,charmander,fire
56,squirtle,water
57,charmander,fire
58,bulbasaur,grass
59,squirtle,water
60,squirtle,water
61,charmander,fire
62,bulbasaur,grass
63,squirtle,water
64,charmander,fire
65,squirtle,water
66,charmander,fire
67,squirtle,water
68,squirtle,water
69,charmander,fire
70,squirtle,water
71,charmander,fire
72,charmander,fire
73,charmander,fire
74,squirtle,water
75,charmander,fire
76,squirtle,water
77,charmander,fire
78,charmander,fire
79,charmander,fire
80,charmander,fire
81,squirtle,water
82,bulbasaur,grass
83,bulbasaur,grass
84,squirtle,water
85,charmander,fire
86,charmander,fire
87,squirtle,water
88,squirtle,water
89,squirtle,water
90,squirtle,water
91,charmander,fire
92,charmander,fire
93,charmander,fire
94,squirtle,water
95,squirtle,water
96,squirtle,water
97,squirtle,water
98,charmander,fire
99,squirtle,water
100,charmander,fire
101,squirtle,water
102,charmander,fire
103,bulbasaur,grass
104,bulbasaur,grass
105,charmander,fire
106,charmander,fire
107,bulbasaur,grass
108,charmander,fire
