"Reporter_Country_Code","Reporter_Countries","Partner_Country_Code","Partner_Countries","Item_Code","Item","Element_Code","Element","Unit","Y2020"
230,"Ukraine",2,"Afghanistan",711,"Anise, badian, fennel, coriander",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",51,"Beer of barley",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",633,"Beverages, non alcoholic",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",893,"Buttermilk, curdled, acidified milk",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",238,"Cake, soybeans",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",901,"Cheese, whole cow milk",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",191,"Chick peas",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",666,"Chocolate products nes",5922,"Export Value","1000 US$",210
230,"Ukraine",2,"Afghanistan",828,"Cigarettes",5922,"Export Value","1000 US$",233
230,"Ukraine",2,"Afghanistan",657,"Coffee, roasted",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",885,"Cream fresh",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",1062,"Eggs, hen, in shell",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",1243,"Fat nes, prepared",5922,"Export Value","1000 US$",54
230,"Ukraine",2,"Afghanistan",111,"Flour, cereals",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",212,"Flour, pulses",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",16,"Flour, wheat",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",1232,"Food prep nes",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",115,"Food preparations, flour, malt extract",5922,"Export Value","1000 US$",230
230,"Ukraine",2,"Afghanistan",1182,"Honey, natural",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",518,"Juice, apple, single strength",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",497,"Lemons and limes",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",56,"Maize",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",1242,"Margarine, short",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",875,"Meat, beef, preparations",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",1058,"Meat, chicken",5922,"Export Value","1000 US$",652
230,"Ukraine",2,"Afghanistan",1041,"Meat, pig sausages",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",909,"Milk, products of natural constituents nes",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",898,"Milk, skimmed dried",5922,"Export Value","1000 US$",49
230,"Ukraine",2,"Afghanistan",889,"Milk, whole condensed",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",897,"Milk, whole dried",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",894,"Milk, whole evaporated",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",60,"Oil, maize",5922,"Export Value","1000 US$",22
230,"Ukraine",2,"Afghanistan",268,"Oil, sunflower",5922,"Export Value","1000 US$",194
230,"Ukraine",2,"Afghanistan",22,"Pastry",5922,"Export Value","1000 US$",35
230,"Ukraine",2,"Afghanistan",187,"Peas, dry",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",236,"Soybeans",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",168,"Sugar confectionery",5922,"Export Value","1000 US$",1176
230,"Ukraine",2,"Afghanistan",164,"Sugar refined",5922,"Export Value","1000 US$",1152
230,"Ukraine",2,"Afghanistan",667,"Tea",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",110,"Wafers",5922,"Export Value","1000 US$",68
230,"Ukraine",2,"Afghanistan",232,"Walnuts, shelled",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",222,"Walnuts, with shell",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",631,"Waters,ice etc",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",15,"Wheat",5922,"Export Value","1000 US$",NA
230,"Ukraine",2,"Afghanistan",900,"Whey, dry",5922,"Export Value","1000 US$",22
230,"Ukraine",3,"Albania",515,"Apples",5922,"Export Value","1000 US$",NA
230,"Ukraine",3,"Albania",176,"Beans, dry",5922,"Export Value","1000 US$",NA
230,"Ukraine",3,"Albania",414,"Beans, green",5922,"Export Value","1000 US$",NA
230,"Ukraine",3,"Albania",51,"Beer of barley",5922,"Export Value","1000 US$",NA
230,"Ukraine",3,"Albania",634,"Beverages, distilled alcoholic",5922,"Export Value","1000 US$",7
