mes,dia,gasto,ahorro
enero,1,-4112,0
enero,2,-157,0
enero,3,-118,0
enero,4,-111,0
enero,5,-159,0
enero,6,-184,0
enero,7,-59,0
enero,8,-179,0
enero,9,-18,0
enero,10,-70,2537
enero,11,-93,0
enero,12,-125,0
enero,13,-86,0
enero,14,-167,0
enero,15,-165,0
enero,16,-77,0
enero,17,-1065,0
enero,18,-47,0
enero,19,-126,0
enero,20,-79,0
enero,21,-75,0
enero,22,-158,0
enero,23,-1,0
enero,24,-41,0
enero,25,-121,1162
enero,26,-87,0
enero,27,-60,0
enero,28,-184,0
enero,29,-122,0
enero,30,-45,0
enero,31,-18,0
febrero,1,-3983,0
febrero,2,-184,0
febrero,3,-5,0
febrero,4,-42,0
febrero,5,-103,0
febrero,6,-113,0
febrero,7,-6,0
febrero,8,-7,0
febrero,9,-55,0
febrero,10,-230,1676
febrero,11,-132,0
febrero,12,-160,0
febrero,13,-76,0
febrero,14,-227,0
febrero,15,-148,0
febrero,16,-82,0
febrero,17,-1039,0
febrero,18,-97,0
febrero,19,-30,0
febrero,20,-119,0
febrero,21,-187,0
febrero,22,-39,0
febrero,23,-118,0
febrero,24,-170,0
febrero,25,-75,374
febrero,26,-3,0
febrero,27,-77,0
febrero,28,-70,0
marzo,1,-4213,0
marzo,2,-45,0
marzo,3,-196,0
marzo,4,-229,0
marzo,5,-260,0
marzo,6,-10,0
marzo,7,-100,0
marzo,8,-43,0
marzo,9,-30,0
marzo,10,-15,2283
marzo,11,-141,0
marzo,12,-94,0
marzo,13,-135,0
marzo,14,-38,0
marzo,15,-97,0
marzo,16,-95,0
marzo,17,-1065,0
marzo,18,-175,0
marzo,19,-55,0
marzo,20,-112,0
marzo,21,-114,0
marzo,22,-20,0
marzo,23,-152,0
marzo,24,-199,0
marzo,25,-65,516
marzo,26,-343,0
marzo,27,-239,0
marzo,28,-123,0
marzo,29,-135,0
marzo,30,-169,0
marzo,31,-114,0
abril,1,-3885,0
abril,2,-97,0
abril,3,-113,0
abril,4,-65,0
abril,5,-55,0
abril,6,-28,0
abril,7,-19,0
abril,8,-178,0
abril,9,-66,0
abril,10,-83,3006
abril,11,-11,0
abril,12,-1,0
abril,13,-55,0
abril,14,-24,0
abril,15,-4,0
abril,16,-95,0
abril,17,-991,0
abril,18,-90,0
abril,19,-88,0
abril,20,-121,0
abril,21,-74,0
abril,22,-85,0
abril,23,-226,0
abril,24,-28,0
abril,25,-8,1210
abril,26,-45,0
abril,27,-108,0
abril,28,-114,0
abril,29,-56,0
abril,30,-42,0
mayo,1,-4179,0
mayo,2,-80,0
mayo,3,-172,0
mayo,4,-151,0
mayo,5,-114,0
mayo,6,-174,0
mayo,7,-37,0
mayo,8,-7,0
mayo,9,-138,0
mayo,10,-118,1845
mayo,11,-13,0
mayo,12,-75,0
mayo,13,-163,0
mayo,14,-3,0
mayo,15,-38,0
mayo,16,-151,0
mayo,17,-829,0
mayo,18,-207,0
mayo,19,-37,0
mayo,20,-208,0
mayo,21,-80,0
mayo,22,-66,0
mayo,23,-122,0
mayo,24,-42,0
mayo,25,-86,2363
mayo,26,-44,0
mayo,27,-75,0
mayo,28,-283,0
mayo,29,-18,0
mayo,30,-165,0
mayo,31,-165,0
junio,1,-4211,0
junio,2,-189,0
junio,3,-122,0
junio,4,-127,0
junio,5,-86,0
junio,6,-232,0
junio,7,-9,0
junio,8,-108,0
junio,9,-46,0
junio,10,-11,3145
junio,11,-41,0
junio,12,-49,0
junio,13,-160,0
junio,14,-46,0
junio,15,-146,0
junio,16,-1,0
junio,17,-1087,0
junio,18,-94,0
junio,19,-87,0
junio,20,-66,0
junio,21,-161,0
junio,22,-123,0
junio,23,-201,0
junio,24,-45,0
junio,25,-28,1654
junio,26,-79,0
junio,27,-185,0
junio,28,-28,0
junio,29,-126,0
junio,30,-91,0
julio,1,-3580,0
julio,2,-136,0
julio,3,-105,0
julio,4,-77,0
julio,5,-68,0
julio,6,-171,0
julio,7,-58,0
julio,8,-112,0
julio,9,-39,0
julio,10,-53,2810
julio,11,-98,0
julio,12,-169,0
julio,13,-80,0
julio,14,-134,0
julio,15,-49,0
julio,16,-59,0
julio,17,-1002,0
julio,18,-89,0
julio,19,-46,0
julio,20,-63,0
julio,21,-29,0
julio,22,-106,0
julio,23,-150,0
julio,24,-56,0
julio,25,-126,2384
julio,26,-250,0
julio,27,-144,0
julio,28,-49,0
julio,29,-111,0
julio,30,-71,0
julio,31,-44,0
agosto,1,-3917,0
agosto,2,-152,0
agosto,3,-52,0
agosto,4,-127,0
agosto,5,-1,0
agosto,6,-269,0
agosto,7,-48,0
agosto,8,-182,0
agosto,9,-86,0
agosto,10,-30,917
agosto,11,-32,0
agosto,12,-54,0
agosto,13,-199,0
agosto,14,-38,0
agosto,15,-109,0
agosto,16,-57,0
agosto,17,-986,0
agosto,18,-73,0
agosto,19,-56,0
agosto,20,-74,0
agosto,21,-29,0
agosto,22,-44,0
agosto,23,-17,0
agosto,24,-206,0
agosto,25,-104,1112
agosto,26,-188,0
agosto,27,-126,0
agosto,28,-114,0
agosto,29,-11,0
agosto,30,-206,0
agosto,31,-68,0
septiembre,1,-3763,0
septiembre,2,-75,0
septiembre,3,-211,0
septiembre,4,-158,0
septiembre,5,-161,0
septiembre,6,-101,0
septiembre,7,-144,0
septiembre,8,-71,0
septiembre,9,-68,0
septiembre,10,-1,4111
septiembre,11,-76,0
septiembre,12,-72,0
septiembre,13,-89,0
septiembre,14,-32,0
septiembre,15,-166,0
septiembre,16,-120,0
septiembre,17,-1022,0
septiembre,18,-114,0
septiembre,19,-45,0
septiembre,20,-75,0
septiembre,21,-149,0
septiembre,22,-29,0
septiembre,23,-149,0
septiembre,24,-79,0
septiembre,25,-98,2768
septiembre,26,-70,0
septiembre,27,-83,0
septiembre,28,-229,0
septiembre,29,-93,0
septiembre,30,-99,0
octubre,1,-3973,0
octubre,2,-54,0
octubre,3,-131,0
octubre,4,-158,0
octubre,5,-283,0
octubre,6,-70,0
octubre,7,-9,0
octubre,8,-96,0
octubre,9,-35,0
octubre,10,-52,2890
octubre,11,-135,0
octubre,12,-202,0
octubre,13,-59,0
octubre,14,-87,0
octubre,15,-180,0
octubre,16,-91,0
octubre,17,-1046,0
octubre,18,-127,0
octubre,19,-35,0
octubre,20,-137,0
octubre,21,-132,0
octubre,22,-56,0
octubre,23,-86,0
octubre,24,-93,0
octubre,25,-9,2018
octubre,26,-136,0
octubre,27,-156,0
octubre,28,-136,0
octubre,29,-151,0
octubre,30,-117,0
octubre,31,-117,0
noviembre,1,-4019,0
noviembre,2,-40,0
noviembre,3,-93,0
noviembre,4,-170,0
noviembre,5,-208,0
noviembre,6,-108,0
noviembre,7,-192,0
noviembre,8,-27,0
noviembre,9,-132,0
noviembre,10,-143,1780
noviembre,11,-57,0
noviembre,12,-126,0
noviembre,13,-153,0
noviembre,14,-82,0
noviembre,15,-87,0
noviembre,16,-2,0
noviembre,17,-1019,0
noviembre,18,-2,0
noviembre,19,-45,0
noviembre,20,-179,0
noviembre,21,-208,0
noviembre,22,-83,0
noviembre,23,-77,0
noviembre,24,-60,0
noviembre,25,-69,1604
noviembre,26,-167,0
noviembre,27,-49,0
noviembre,28,-33,0
noviembre,29,-41,0
noviembre,30,-31,0
diciembre,1,-4022,0
diciembre,2,-60,0
diciembre,3,-99,0
diciembre,4,-7,0
diciembre,5,-46,0
diciembre,6,-27,0
diciembre,7,-5,0
diciembre,8,-39,0
diciembre,9,-86,0
diciembre,10,-50,1713
diciembre,11,-26,0
diciembre,12,-106,0
diciembre,13,-157,0
diciembre,14,-77,0
diciembre,15,-109,0
diciembre,16,-222,0
diciembre,17,-981,0
diciembre,18,-168,0
diciembre,19,-6,0
diciembre,20,-185,0
diciembre,21,-68,0
diciembre,22,-80,0
diciembre,23,-10,0
diciembre,24,-134,0
diciembre,25,-90,2067
diciembre,26,-139,0
diciembre,27,-156,0
diciembre,28,-72,0
diciembre,29,-175,0
diciembre,30,-111,0
diciembre,31,-8,0
