"epi_id","colectado","enviado","pais","estado","dias_hasta_el_envio"
"EPI_ISL_658863",2020-11-02,2020-11-25,"Mexico","Aguascalientes",23
"EPI_ISL_658865",2020-11-02,2020-11-25,"Mexico","Aguascalientes",23
"EPI_ISL_658868",2020-11-02,2020-11-25,"Mexico","Aguascalientes",23
"EPI_ISL_658870",2020-11-02,2020-11-25,"Mexico","Aguascalientes",23
"EPI_ISL_658873",2020-11-02,2020-11-25,"Mexico","Aguascalientes",23
"EPI_ISL_658875",2020-11-02,2020-11-25,"Mexico","Aguascalientes",23
"EPI_ISL_658880",2020-11-02,2020-11-25,"Mexico","Aguascalientes",23
"EPI_ISL_658883",2020-11-02,2020-11-25,"Mexico","Aguascalientes",23
"EPI_ISL_658891",2020-11-01,2020-11-25,"Mexico","Aguascalientes",24
"EPI_ISL_913953",2020-12-16,2021-02-02,"Mexico","Aguascalientes",48
"EPI_ISL_913954",2020-12-16,2021-02-02,"Mexico","Aguascalientes",48
"EPI_ISL_1288392",2021-02-11,2021-03-18,"Mexico","Aguascalientes",35
"EPI_ISL_1288393",2021-02-11,2021-03-18,"Mexico","Aguascalientes",35
"EPI_ISL_1288417",2021-02-12,2021-03-18,"Mexico","Mexico City",34
"EPI_ISL_1288154",2021-02-09,2021-03-18,"Mexico","Aguascalientes",37
"EPI_ISL_1288155",2021-02-09,2021-03-18,"Mexico","Aguascalientes",37
"EPI_ISL_1301631",2020-04-08,2021-03-20,"Mexico","Aguascalientes",346
"EPI_ISL_1301525",2020-04-12,2021-03-20,"Mexico","Aguascalientes",342
"EPI_ISL_1279461",2021-02-19,2021-03-18,"Mexico","Aguascalientes",27
"EPI_ISL_576258",2020-06-15,2020-10-09,"Mexico","Aguascalientes",116
"EPI_ISL_576261",2020-08-07,2020-10-09,"Mexico","Aguascalientes",63
"EPI_ISL_4298935",2021-08-13,2021-09-19,"Mexico","Aguascalientes",37
"EPI_ISL_4298936",2021-08-16,2021-09-19,"Mexico","Aguascalientes",34
"EPI_ISL_4298937",2021-08-13,2021-09-19,"Mexico","Aguascalientes",37
