indice,episodio,temporada,calificacion,evento
1,1,T1,9,
2,2,T1,8.6,
3,3,T1,8.5,
4,4,T1,8.6,
5,5,T1,9,
6,6,T1,9.1,
7,7,T1,9.1,
8,8,T1,8.9,
9,9,T1,9.6,
10,10,T1,9.4,
11,1,T2,8.7,
12,2,T2,8.4,
13,3,T2,8.7,
14,4,T2,8.6,
15,5,T2,8.6,
16,6,T2,8.9,
17,7,T2,8.8,
18,8,T2,8.6,
19,9,T2,9.6,
20,10,T2,9.3,
21,1,T3,8.7,
22,2,T3,8.5,
23,3,T3,8.7,
24,4,T3,9.5,
25,5,T3,8.9,
26,6,T3,8.7,
27,7,T3,8.6,
28,8,T3,8.9,
29,9,T3,9.9,Boda Roja
30,10,T3,9.1,
31,1,T4,9,
32,2,T4,9.7,
33,3,T4,8.8,
34,4,T4,8.7,
35,5,T4,8.6,
36,6,T4,9.7,
37,7,T4,9,
38,8,T4,9.7,
39,9,T4,9.6,
40,10,T4,9.6,
41,1,T5,8.4,
42,2,T5,8.4,
43,3,T5,8.4,
44,4,T5,8.6,
45,5,T5,8.5,
46,6,T5,7.9,
47,7,T5,8.9,
48,8,T5,9.8,
49,9,T5,9.4,
50,10,T5,9.1,
51,1,T6,8.4,
52,2,T6,9.3,
53,3,T6,8.6,
54,4,T6,9,
55,5,T6,9.7,
56,6,T6,8.3,
57,7,T6,8.5,
58,8,T6,8.3,
59,9,T6,9.9,Los Bastardos
60,10,T6,9.9,Fuego Verde en Baelor
61,1,T7,8.5,
62,2,T7,8.8,
63,3,T7,9.1,
64,4,T7,9.7,
65,5,T7,8.7,
66,6,T7,9,
67,7,T7,9.4,
68,1,T8,7.6,
69,2,T8,7.9,
70,3,T8,7.5,
71,4,T8,5.5,
72,5,T8,6,
73,6,T8,4.1,Fuchi
