"Area","Item","Year","Imports","Production"
"Mexico","Maize",1961,31022,6246106
"Mexico","Maize",1962,94946,6337359
"Mexico","Maize",1963,466559,6870201
"Mexico","Maize",1964,35040,8454046
"Mexico","Maize",1965,11126,8936381
"Mexico","Maize",1966,4486,9271485
"Mexico","Maize",1967,4918,8603279
"Mexico","Maize",1968,5499,9061823
"Mexico","Maize",1969,8442,8410891
"Mexico","Maize",1970,760901,8879385
"Mexico","Maize",1971,17228,9785734
"Mexico","Maize",1972,197479,9222837
"Mexico","Maize",1973,1143531,8609132
"Mexico","Maize",1974,1278232,7847763
"Mexico","Maize",1975,2636597,8448708
"Mexico","Maize",1976,912428,8017294
"Mexico","Maize",1977,1754772,10137914
"Mexico","Maize",1978,1419763,10930077
"Mexico","Maize",1979,747403,8457899
"Mexico","Maize",1980,3777277,12374400
"Mexico","Maize",1981,3065359,13988074
"Mexico","Maize",1982,370541,10119665
"Mexico","Maize",1983,4690865,13188000
"Mexico","Maize",1984,2497815,12788809
"Mexico","Maize",1985,1725737,14103454
"Mexico","Maize",1986,1703582,11909708
"Mexico","Maize",1987,3602897,11606945
"Mexico","Maize",1988,3301829,10592291
"Mexico","Maize",1989,3649219,10952847
"Mexico","Maize",1990,4104418,14635439
"Mexico","Maize",1991,1421705,14251500
"Mexico","Maize",1992,1305670,16929344
"Mexico","Maize",1993,210644,18125264
"Mexico","Maize",1994,2746639,18235826
"Mexico","Maize",1995,2686921,18352856
"Mexico","Maize",1996,5842750,18023626
"Mexico","Maize",1997,2518862,17656258
"Mexico","Maize",1998,5211863,18454710
"Mexico","Maize",1999,5545811,17706376
"Mexico","Maize",2000,5347619,17556900
"Mexico","Maize",2001,6174028,20134300
"Mexico","Maize",2002,5512911,19297800
"Mexico","Maize",2003,5764149,20701400
"Mexico","Maize",2004,5518690,21670200
"Mexico","Maize",2005,5743678,19338700
"Mexico","Maize",2006,7609940,21893209
"Mexico","Maize",2007,7954729,23512752
"Mexico","Maize",2008,9145987,24320100
"Mexico","Maize",2009,7260619,20142816
"Mexico","Maize",2010,7848998,23301879
"Mexico","Maize",2011,9476171,17635417
"Mexico","Maize",2012,9515074,22069254
"Mexico","Maize",2013,7153033,22663953
"Mexico","Maize",2014,10407011,23273257
"Mexico","Maize",2015,12145301,24694046
"Mexico","Maize",2016,14105991,28250160
"Mexico","Maize",2017,15338715,27763203
"Mexico","Maize",2018,17095167,27169400
"Mexico","Maize",2019,16524045,27228242
"Mexico","Maize",2020,15953293,27424528
