Estado,Total,Perro,Gato
Aguascalientes,913773,431541,119281
Baja California,2452621,1385560,546760
Baja California Sur,590334,307877,128199
Campeche,710257,388371,142707
Coahuila,1946667,1005458,312043
Colima,579340,236496,103769
Chiapas,2175702,1435027,451857
Chihuahua,2181960,1308645,522967
CDMX,5495746,2710483,1141605
Durango,1267645,584866,209920
Guanajuato,3975284,2377851,614061
Guerrero,2617082,1439763,619583
Hidalgo,2095731,1273565,416206
Jalisco,4736986,2281781,915849
Mexico,10907051,6424814,2049279
Michoacan,3430269,1798847,710338
Morelos,1767854,778811,379584
Nayarit,802032,384297,179910
Nuevo Leon,2945536,1563835,577681
Oaxaca,2929088,1656776,582454
Puebla,4044337,2517556,888941
Queretaro,1586711,788906,261077
Quintana Roo,1183176,647902,246295
San Luis Potosi,2151671,1170415,471064
Sinaloa,1764811,902233,326861
Sonora,1867094,1083259,363658
Tabasco,1283951,752898,204921
Tamaulipas,2410277,1287696,603090
Tlaxcala,950512,518155,198593
Veracruz,5014652,2892581,1287444
Yucatan,2074423,900484,478176
Zacatecas,1124780,519623,208958
