"annio","nombre","categoria","edad","genero"
2009,"Elinor Ostrom","economics",76,"female"
2004,"Wangari Muta Maathai","peace",64,"female"
1964,"Dorothy Crowfoot Hodgkin","chemistry",54,"female"
2015,"Youyou Tu","medicine",85,"female"
1983,"Barbara McClintock","medicine",81,"female"
2003,"Shirin Ebadi","peace",56,"female"
1926,"Grazia Deledda","literature",55,"female"
1945,"Gabriela Mistral","literature",56,"female"
2004,"Elfriede Jelinek","literature",58,"female"
1991,"Aung San Suu Kyi NA","peace",46,"female"
1966,"Nelly Sachs","literature",75,"female"
2015,"Svetlana Alexievich","literature",67,"female"
1938,"Pearl Buck","literature",46,"female"
1996,"Wislawa Szymborska","literature",73,"female"
2009,"Ada E. Yonath","chemistry",70,"female"
1977,"Rosalyn Yalow","medicine",56,"female"
2009,"Carol W. Greider","medicine",48,"female"
2009,"Elizabeth H. Blackburn","medicine",61,"female"
1963,"Maria Goeppert Mayer","physics",57,"female"
1995,"Christiane N<f4>sslein-Volhard","medicine",53,"female"
2014,"May-Britt Moser","medicine",51,"female"
1986,"Rita Levi-Montalcini","medicine",77,"female"
1988,"Gertrude B. Elion","medicine",70,"female"
2004,"Linda B. Buck","medicine",57,"female"
2008,"Fran<U+008D>oise Barr_-Sinoussi","medicine",61,"female"
1947,"Gerty Theresa Cori, n_e Radnitz","medicine",51,"female"
2011,"Ellen Johnson Sirleaf","peace",73,"female"
2011,"Leymah Gbowee","peace",39,"female"
2011,"Tawakkol Karman","peace",32,"female"
2014,"Malala Yousafzai","peace",17,"female"
1997,"Jody Williams","peace",47,"female"
1909,"Selma Ottilia Lovisa Lagerl_f","literature",51,"female"
1911,"Marie Curie, n_e Sklodowska","chemistry",44,"female"
1992,"Rigoberta Mench<ec> Tum","peace",33,"female"
1903,"Marie Curie, n_e Sklodowska","physics",36,"female"
1935,"Ir<U+008F>ne Joliot-Curie","chemistry",38,"female"
2013,"Alice Munro","literature",82,"female"
1928,"Sigrid Undset","literature",46,"female"
2007,"Doris Lessing","literature",88,"female"
1993,"Toni Morrison","literature",62,"female"
1991,"Nadine Gordimer","literature",68,"female"
2009,"Herta M<f4>ller","literature",56,"female"
1976,"Betty Williams","peace",33,"female"
1976,"Mairead Corrigan","peace",32,"female"
1982,"Alva Myrdal","peace",80,"female"
1979,"Mother Teresa NA","peace",69,"female"
1905,"Baroness Bertha Sophie Felicita von Suttner, n_e Countess Kinsky von Chinic und Tettau","peace",62,"female"
1931,"Jane Addams","peace",71,"female"
1946,"Emily Greene Balch","peace",79,"female"
1903,"Bj<cb>rnstjerne Martinus Bj<cb>rnson","literature",71,"male"
1910,"Paul Johann Ludwig Heyse","literature",80,"male"
1915,"Romain Rolland","literature",49,"male"
2008,"Jean-Marie Gustave Le Cl_zio","literature",68,"male"
1905,"Henryk Sienkiewicz","literature",59,"male"
1913,"Rabindranath Tagore","literature",52,"male"
2011,"Tomas Transtr_mer","literature",80,"male"
1977,"Vicente Aleixandre","literature",79,"male"
1974,"Eyvind Johnson","literature",74,"male"
1997,"Robert C. Merton","economics",53,"male"
1997,"Myron S. Scholes","economics",56,"male"
1992,"Derek Walcott","literature",62,"male"
1971,"Pablo Neruda","literature",67,"male"
1989,"Camilo Jos_ Cela","literature",73,"male"
2000,"Gao Xingjian","literature",60,"male"
1987,"Joseph Brodsky","literature",47,"male"
1973,"Patrick White","literature",61,"male"
2000,"Herbert Kroemer","physics",72,"male"
2000,"Zhores I. Alferov","physics",70,"male"
1997,"William D. Phillips","physics",49,"male"
1997,"Claude Cohen-Tannoudji","physics",64,"male"
1997,"Steven Chu","physics",49,"male"
1991,"Pierre-Gilles de Gennes","physics",59,"male"
1960,"Peter Brian Medawar","medicine",45,"male"
1960,"Sir Frank Macfarlane Burnet","medicine",61,"male"
1999,"Martinus J.G. Veltman","physics",68,"male"
1999,"Gerardus 't Hooft","physics",53,"male"
1970,"Louis Eug<U+008F>ne F_lix N_el","physics",66,"male"
1970,"Hannes Olof G_sta Alfv_n","physics",62,"male"
1964,"Charles Hard Townes","physics",49,"male"
1964,"Aleksandr Mikhailovich Prokhorov","physics",48,"male"
1964,"Nicolay Gennadiyevich Basov","physics",42,"male"
2012,"David J. Wineland","physics",68,"male"
2012,"Serge Haroche","physics",68,"male"
2009,"Charles Kuen Kao","physics",76,"male"
2010,"Andre Geim","physics",52,"male"
2010,"Konstantin Novoselov","physics",36,"male"
1969,"Ragnar Frisch","economics",74,"male"
1969,"Jan Tinbergen","economics",66,"male"
1995,"Robert E. Lucas Jr.","economics",58,"male"
2005,"Thomas C. Schelling","economics",84,"male"
2005,"Robert J. Aumann","economics",75,"male"
2002,"Vernon L. Smith","economics",75,"male"
1992,"Gary S. Becker","economics",62,"male"
1983,"Gerard Debreu","economics",62,"male"
2002,"Daniel Kahneman","economics",68,"male"
2007,"Roger B. Myerson","economics",56,"male"
2007,"Leonid Hurwicz","economics",90,"male"
2007,"Eric S. Maskin","economics",57,"male"
1984,"Richard Stone","economics",71,"male"
1993,"Robert W. Fogel","economics",66,"male"
1993,"Douglass C. North","economics",73,"male"
2001,"Sir Vidiadhar Surajprasad Naipaul","literature",69,"male"
1976,"Milton Friedman","economics",64,"male"
1923,"William Butler Yeats","literature",58,"male"
2015,"Angus Deaton","economics",70,"male"
2009,"Oliver E. Williamson","economics",77,"male"
1981,"James Tobin","economics",63,"male"
2006,"Edmund S. Phelps","economics",73,"male"
2014,"Jean Tirole","economics",61,"male"
1999,"Robert A. Mundell","economics",67,"male"
2008,"Paul Krugman","economics",55,"male"
1917,"Henrik Pontoppidan","literature",60,"male"
1978,"Pyotr Leonidovich Kapitsa","physics",84,"male"
1907,"Eduard Buchner","chemistry",47,"male"
1934,"Luigi Pirandello","literature",67,"male"
2010,"Mario Vargas Llosa","literature",74,"male"
1989,"Trygve Haavelmo","economics",78,"male"
1947,"Andr_ Paul Guillaume Gide","literature",78,"male"
1994,"George A. Olah","chemistry",67,"male"
1981,"Kai M. Siegbahn","physics",63,"male"
1943,"Otto Stern","physics",55,"male"
2005,"Roy J. Glauber","physics",80,"male"
1978,"Peter D. Mitchell","chemistry",58,"male"
1969,"Murray Gell-Mann","physics",40,"male"
1949,"William Francis Giauque","chemistry",54,"male"
1977,"Ilya Prigogine","chemistry",60,"male"
1936,"Petrus (Peter) Josephus Wilhelmus Debye","chemistry",52,"male"
1921,"Frederick Soddy","chemistry",44,"male"
1991,"Richard R. Ernst","chemistry",58,"male"
1971,"Gerhard Herzberg","chemistry",67,"male"
1987,"Robert M. Solow","economics",63,"male"
1992,"Rudolph A. Marcus","chemistry",69,"male"
1967,"Hans Albrecht Bethe","physics",61,"male"
1963,"Eugene Paul Wigner","physics",61,"male"
1998,"Amartya Sen","economics",65,"male"
2002,"Jimmy Carter","peace",78,"male"
1968,"Luis Walter Alvarez","physics",57,"male"
1939,"Frans Eemil Sillanp__","literature",51,"male"
1925,"Richard Adolf Zsigmondy","chemistry",60,"male"
1953,"Frits Zernike","physics",65,"male"
1938,"Enrico Fermi","physics",37,"male"
1998,"John A. Pople","chemistry",73,"male"
1982,"Aaron Klug","chemistry",56,"male"
1984,"Robert Bruce Merrifield","chemistry",63,"male"
2002,"Kurt W<f4>thrich","chemistry",64,"male"
1986,"James M. Buchanan Jr.","economics",67,"male"
1998,"Walter Kohn","chemistry",75,"male"
1950,"Cecil Frank Powell","physics",47,"male"
1990,"Elias James Corey","chemistry",62,"male"
1948,"Patrick Maynard Stuart Blackett","physics",51,"male"
2000,"Daniel L. McFadden","economics",63,"male"
2000,"James J. Heckman","economics",56,"male"
1932,"Irving Langmuir","chemistry",51,"male"
1924,"Karl Manne Georg Siegbahn","physics",38,"male"
1958,"Joshua Lederberg","medicine",33,"male"
1966,"Charles Brenton Huggins","medicine",65,"male"
1955,"Willis Eugene Lamb","physics",42,"male"
1981,"Roger W. Sperry","medicine",68,"male"
1971,"Earl W. Sutherland, Jr.","medicine",56,"male"
1955,"Axel Hugo Theodor Theorell","medicine",52,"male"
1933,"Thomas Hunt Morgan","medicine",67,"male"
1951,"Max Theiler","medicine",52,"male"
1937,"Albert von Szent-Gy_rgyi Nagyr<U+0088>polt","medicine",44,"male"
1953,"Hermann Staudinger","chemistry",72,"male"
1961,"Georg von B_k_sy","medicine",62,"male"
1911,"Wilhelm Wien","physics",47,"male"
1919,"Jules Bordet","medicine",49,"male"
1957,"Daniel Bovet","medicine",50,"male"
1991,"Ronald H. Coase","economics",81,"male"
1959,"Jaroslav Heyrovsky","chemistry",69,"male"
1953,"Fritz Albert Lipmann","medicine",54,"male"
1936,"Victor Franz Hess","physics",53,"male"
1934,"Harold Clayton Urey","chemistry",41,"male"
1930,"Karl Landsteiner","medicine",62,"male"
2008,"Harald zur Hausen","medicine",72,"male"
1997,"Stanley B. Prusiner","medicine",55,"male"
1952,"Selman Abraham Waksman","medicine",64,"male"
1970,"Luis F. Leloir","chemistry",64,"male"
1929,"Christiaan Eijkman","medicine",71,"male"
1920,"Schack August Steenberg Krogh","medicine",46,"male"
1917,"Charles Glover Barkla","physics",40,"male"
1943,"Edward Adelbert Doisy","medicine",50,"male"
1953,"Hans Adolf Krebs","medicine",53,"male"
2011,"Ralph M. Steinman","medicine",68,"male"
1914,"Max von Laue","physics",35,"male"
1919,"Johannes Stark","physics",45,"male"
1927,"Arthur Holly Compton","physics",35,"male"
1944,"Otto Hahn","chemistry",65,"male"
1922,"Otto Fritz Meyerhof","medicine",38,"male"
1949,"Walter Rudolf Hess","medicine",68,"male"
1987,"Susumu Tonegawa","medicine",48,"male"
1929,"Sir Frederick Gowland Hopkins","medicine",68,"male"
1948,"Paul Hermann M<f4>ller","medicine",49,"male"
1924,"Willem Einthoven","medicine",64,"male"
1931,"Otto Heinrich Warburg","medicine",48,"male"
1935,"Hans Spemann","medicine",66,"male"
1947,"Bernardo Alberto Houssay","medicine",60,"male"
1936,"Carl David Anderson","physics",31,"male"
1926,"Johannes Andreas Grib Fibiger","medicine",59,"male"
1949,"Antonio Caetano de Abreu Freire Egas Moniz","medicine",75,"male"
1927,"Julius Wagner-Jauregg","medicine",70,"male"
1929,"Prince Louis-Victor Pierre Raymond de Broglie","physics",37,"male"
1966,"Peyton Rous","medicine",87,"male"
1943,"Henrik Carl Peter Dam","medicine",48,"male"
1922,"Archibald Vivian Hill","medicine",36,"male"
1946,"James Batcheller Sumner","chemistry",59,"male"
1922,"Francis William Aston","chemistry",45,"male"
1975,"Eugenio Montale","literature",79,"male"
1932,"John Galsworthy","literature",65,"male"
1963,"Giorgos Seferis","literature",63,"male"
1971,"Simon Kuznets","economics",70,"male"
2009,"Barack H. Obama","peace",48,"male"
1974,"Paul J. Flory","chemistry",64,"male"
1993,"Michael Smith","chemistry",61,"male"
1954,"Max Born","physics",72,"male"
1980,"Paul Berg","chemistry",54,"male"
1966,"Robert S. Mulliken","chemistry",70,"male"
1986,"Ernst Ruska","physics",80,"male"
1924,"Wladyslaw Stanislaw Reymont","literature",57,"male"
1978,"Isaac Bashevis Singer","literature",74,"male"
1958,"Boris Leonidovich Pasternak","literature",68,"male"
2008,"Martti Ahtisaari","peace",71,"male"
1957,"Albert Camus","literature",44,"male"
1946,"Hermann Hesse","literature",69,"male"
1992,"Georges Charpak","physics",68,"male"
1971,"Dennis Gabor","physics",71,"male"
1912,"Nils Gustaf Dal_n","physics",43,"male"
1923,"Fritz Pregl","chemistry",54,"male"
1993,"Kary B. Mullis","chemistry",49,"male"
1905,"Robert Koch","medicine",62,"male"
1908,"Ernest Rutherford","chemistry",37,"male"
1927,"Heinrich Otto Wieland","chemistry",50,"male"
1904,"Lord Rayleigh (John William Strutt)","physics",62,"male"
1947,"Sir Edward Victor Appleton","physics",55,"male"
1937,"Walter Norman Haworth","chemistry",54,"male"
1937,"Paul Karrer","chemistry",48,"male"
1947,"Sir Robert Robinson","chemistry",61,"male"
1913,"Heike Kamerlingh Onnes","physics",60,"male"
1990,"Mikhail Sergeyevich Gorbachev","peace",59,"male"
2010,"Liu Xiaobo","peace",55,"male"
1956,"Juan Ram<U+0084>n Jim_nez","literature",75,"male"
1959,"Salvatore Quasimodo","literature",58,"male"
1953,"Sir Winston Leonard Spencer Churchill","literature",79,"male"
1954,"Ernest Miller Hemingway","literature",55,"male"
1912,"Paul Sabatier","chemistry",58,"male"
1927,"Charles Thomson Rees Wilson","physics",58,"male"
1908,"Gabriel Lippmann","physics",63,"male"
1960,"Willard Frank Libby","chemistry",52,"male"
1920,"Knut Pedersen Hamsun","literature",61,"male"
1968,"Yasunari Kawabata","literature",69,"male"
1982,"Gabriel Garc<cd>a M<U+0088>rquez","literature",55,"male"
1983,"William Golding","literature",72,"male"
1907,"Albert Abraham Michelson","physics",55,"male"
1965,"Robert Burns Woodward","chemistry",48,"male"
