estado,ingreso2019,ingreso2020
AGS,19582,18517
BC,39215,33777
BCSur,8623,7369
CAM,14168,13437
CHI,41718,34994
CHIH,36348,34827
CDMX,210337,210284
COA,39456,37940
COL,10241,9275
DUR,16047,16069
GUA,55435,51512
GUE,26565,23076
HID,31740,28614
JAL,58482,50756
EDOMEX,161017,138950
MICH,38993,38887
MOR,20177,18080
NAY,17709,14746
NL,60209,65562
OAX,24255,22598
PUE,106144,88509
QUE,25559,23785
QROO,18606,17895
SLP,29828,27369
SIN,47117,47394
SON,40272,37066
TAB,27939,19976
TAM,44323,37810
TLAX,11165,9674
VER,82052,71264
YUC,27894,25124
ZAC,18170,16541
