entidad_mapa,entidad,desc_ent,promedio_pan
MX.03,03,03 BAJA CALIFORNIA SUR,3.3991112187868
MX.30,30,30 VERACRUZ DE IGNACIO DE LA LLAVE,2.91620216710944
MX.17,17,17 MORELOS,2.39929404629599
MX.10,10,10 DURANGO,2.39481723230553
MX.07,07,07 CHIAPAS,2.29793253508691
MX.29,29,29 TLAXCALA,2.04999175708337
MX.09,09,09 CIUDAD DE MÉXICO,2.02813572931206
MX.21,21,21 PUEBLA,1.94058470444634
MX.24,24,24 SAN LUIS POTOSÍ,1.92700518188834
MX.31,31,31 YUCATÁN,1.81455346817273
MX.01,01,01 AGUASCALIENTES,1.78663335458976
MX.11,11,11 GUANAJUATO,1.77515580189972
MX.32,32,32 ZACATECAS,1.69586663871867
MX.15,15,15 MÉXICO,1.65819388739731
MX.16,16,16 MICHOACÁN DE OCAMPO,1.63683445341496
MX.04,04,04 CAMPECHE,1.62515553408477
MX.22,22,22 QUERÉTARO,1.59372861316681
MX.13,13,13 HIDALGO,1.52575433440435
MX.23,23,23 QUINTANA ROO,1.50628857921178
MX.20,20,20 OAXACA,1.43352492225274
MX.06,06,06 COLIMA,1.38404237829516
MX.14,14,14 JALISCO,1.16344259150614
MX.08,08,08 CHIHUAHUA,0.923818791779533
MX.26,26,26 SONORA,0.901477511458657
MX.25,25,25 SINALOA,0.807113823667482
MX.02,02,02 BAJA CALIFORNIA,0.80098648207668
MX.05,05,05 COAHUILA DE ZARAGOZA,0.78341300072817
MX.27,27,27 TABASCO,0.779799508121097
MX.19,19,19 NUEVO LEÓN,0.730988441799366
MX.28,28,28 TAMAULIPAS,0.62304967163475
MX.18,18,18 NAYARIT,0.609892880516693
MX.12,12,12 GUERRERO,0.161961003983444
