Starter	Type	Grass	Fire	Water	Normal	Electric
Pikachu	Electric	1	0	1	18	17
Eevee	Normal	1	1	1	19	1
Bulbasaur	Grass	12	0	0	17	0
Charmander	Fire	1	18	0	16	0
Squirtle	Water	0	0	14	18	0
Chikorita	Grass	10	1	0	18	0
Cyndaquil	Fire	0	16	0	17	1
Totodile	Water	0	0	13	19	0
Treecko	Grass	11	0	0	17	1
Torchic	Fire	0	17	0	16	1
Mudkip	Water	0	0	13	16	0
Turtwig	Grass	12	0	0	16	0
Chimchar	Fire	1	15	0	19	1
Piplup	Water	0	0	14	16	0
Snivy	Grass	12	0	0	12	0
Tepig	Fire	1	16	0	18	1
Oshawott	Water	0	0	13	15	0
Chespin	Grass	11	0	0	16	1
Fennekin	Fire	1	15	0	13	0
Froakie	Water	0	0	12	15	0
Rowlet	Grass	10	0	0	14	0
Litten	Fire	0	16	0	15	1
Popplio	Water	0	0	13	13	1
Grookey	Grass	12	0	0	13	0
Scorbunny	Fire	0	14	0	12	1
Sobble	Water	0	0	12	11	0
Sprigatito	Grass	11	0	0	12	0
Fuecoco	Fire	0	15	0	12	0
Quaxly	Water	0	0	12	13	0
