position_x,position_y,frame
1086,1814,003535
1148,1456,003535
1226,1858,003535
1304,1758,003535
1408,1676,003535
1752,2038,003535
1502,1976,003535
1864,1750,003535
1536,1576,003535
1024,1568,003535
1408,1880,003535
1072,2000,003535
2026,2048,003535
2030,1970,003535
1480,1714,003535
1358,1662,003535
1816,1598,003535
1764,1860,003535
2018,1610,003535
1712,1436,003535
1878,1502,003535
1860,1900,003535
1950,1924,003535
1884,2030,003535
1814,1680,003535
1908,1678,003535
1576,2048,003535
1732,1574,003535
1688,1352,003535
1820,1448,003535
1944,1492,003535
2048,1518,003535
2034,1400,003535
1774,1340,003535
1846,1300,003535
1976,1302,003535
1952,1198,003535
1986,1146,003535
2042,1136,003535
2048,1204,003535
2022,1094,003535
2026,1024,003535
1852,1086,003535
1922,1036,003535
1840,1206,003535
1732,1218,003535
1662,1242,003535
1722,1092,003535
1688,1024,003535
1582,1024,003535
1538,1138,003535
1424,1074,003535
1518,1254,003535
1566,1306,003535
1362,1390,003535
1458,1410,003535
1366,1478,003535
1418,1462,003535
1528,1432,003535
1232,1290,003535
1412,1268,003535
1288,1152,003535
1120,1050,003535
1324,1038,003535
2048,1782,003535
1256,2262,003535
1976,2090,003535
1092,2048,003535
1024,2206,003535
1038,2300,003535
1122,2134,003535
1136,2336,003535
1244,2336,003535
1448,2168,003535
1504,2048,003535
1564,2110,003535
1672,2180,003535
1766,2148,003535
1664,2198,003535
1764,2048,003535
1848,2116,003535
2036,2192,003535
1874,2234,003535
1810,2352,003535
1906,2354,003535
2016,2316,003535
1664,2296,003535
1514,2258,003535
1464,2392,003535
1352,2476,003535
1072,2502,003535
2016,2048,003535
1210,2484,003535
1670,2490,003535
1606,2458,003535
1768,2454,003535
2016,2482,003535
1988,2404,003535
1974,2534,003535
1920,2552,003535
1954,2606,003535
1856,2654,003535
1856,2556,003535
1752,2608,003535
1478,2478,003535
1526,2598,003535
1590,2566,003535
1490,2550,003535
1700,2710,003535
1344,2614,003535
1104,2570,003535
1118,2658,003535
1238,2602,003535
1024,2702,003535
1162,2708,003535
1238,2746,003535
1428,2666,003535
1552,2658,003535
1628,2734,003535
2016,2614,003535
1696,2804,003535
1342,2694,003535
1892,2824,003535
2046,2776,003535
1978,2774,003535
1380,2746,003535
1032,2842,003535
1170,2836,003535
1308,2820,003535
1032,2974,003535
1064,3052,003535
1640,2922,003535
1132,2930,003535
1516,2926,003535
1916,2770,003535
2032,2982,003535
1890,3044,003535
1694,2920,003535
1302,2964,003535
1350,2942,003535
1544,2900,003535
1462,2810,003535
1424,2864,003535
1396,2800,003535
1154,3070,003535
1448,2982,003535
1228,3008,003535
1370,3072,003535
1592,3010,003535
1498,3072,003535
1624,3072,003535
1772,2828,003535
1822,2884,003535
1998,2902,003535
1726,3002,003535
1792,3032,003535
1918,2942,003535
1942,3052,003535
2044,3072,003535
1488,2754,003535
1548,2794,003535
1240,3072,003535
1116,3282,003535
1204,3310,003535
1226,3268,003535
1294,3252,003535
1156,3098,003535
1358,3104,003535
1448,3150,003535
1410,3336,003535
1508,3552,003535
1600,3568,003535
1500,3772,003535
1574,3242,003535
1912,3286,003535
1676,3434,003535
1362,3210,003535
1644,3094,003535
1516,3096,003535
1444,3250,003535
1750,3372,003535
1780,3288,003535
2044,3256,003535
1952,3130,003535
1982,3284,003535
1046,3420,003535
1208,3472,003535
1302,3506,003535
1378,3456,003535
1118,3636,003535
1380,3606,003535
1788,3486,003535
1880,3596,003535
1878,3512,003535
2046,3474,003535
1568,3344,003535
2010,3406,003535
1328,3792,003535
1644,3738,003535
1600,3668,003535
1590,3858,003535
1236,4038,003535
1114,3980,003535
1456,3890,003535
1768,3702,003535
1748,3858,003535
1536,3998,003535
1102,3856,003535
1840,3974,003535
2006,3794,003535
1798,4006,003535
1628,3334,003535
1220,3564,003535
1328,3924,003535
1598,4042,003535
1936,3912,003535
1868,3764,003535
1208,3658,003535
1214,3944,003535
2086,1118,003535
2176,1118,003535
2222,1074,003535
2314,1120,003535
2392,1134,003535
2460,1082,003535
2588,1100,003535
2726,1142,003535
2958,1056,003535
2172,1328,003535
2282,1238,003535
2422,1236,003535
2488,1336,003535
2638,1296,003535
2776,1296,003535
2904,1344,003535
2802,1470,003535
2310,1390,003535
2402,1392,003535
2486,1496,003535
2274,1506,003535
2212,1584,003535
2332,1656,003535
2620,1584,003535
2608,1674,003535
2474,1766,003535
2138,1688,003535
2244,1786,003535
2750,1620,003535
2880,1588,003535
3052,1634,003535
2730,1806,003535
2372,1906,003535
2520,1902,003535
2806,1870,003535
2874,1828,003535
2248,1902,003535
2126,1884,003535
2730,1962,003535
2916,2010,003535
2290,1998,003535
2134,2128,003535
2244,2136,003535
2122,2266,003535
2426,2252,003535
2622,2162,003535
2564,2168,003535
2364,2172,003535
2322,2108,003535
2498,2082,003535
2674,2102,003535
2846,2100,003535
2748,2182,003535
2600,2262,003535
2678,2266,003535
2836,2300,003535
2840,2204,003535
2974,2164,003535
3014,2308,003535
3010,2376,003535
2808,2400,003535
2886,2438,003535
2940,2464,003535
3034,2448,003535
2892,2546,003535
2976,2592,003535
2800,2636,003535
2758,2558,003535
2672,2584,003535
2664,2480,003535
2708,2366,003535
2544,2444,003535
2356,2410,003535
2186,2324,003535
2238,2428,003535
2110,2490,003535
2230,2494,003535
2424,2420,003535
2384,2582,003535
2270,2618,003535
2188,2662,003535
2150,2718,003535
2134,2830,003535
2498,2848,003535
2742,2856,003535
2684,2852,003535
2704,2688,003535
2886,2670,003535
2540,2550,003535
2448,2506,003535
2410,2668,003535
2332,2708,003535
2320,2804,003535
2234,2866,003535
2088,2924,003535
2412,2826,003535
2342,2902,003535
2224,2970,003535
2256,3040,003535
2344,2998,003535
2480,2970,003535
2558,2734,003535
2478,2598,003535
2580,2598,003535
2644,2732,003535
2494,2752,003535
2766,2752,003535
2864,2724,003535
3004,2688,003535
3026,2766,003535
2912,2810,003535
2836,2852,003535
3004,2896,003535
2944,2960,003535
2920,2892,003535
2872,3036,003535
2814,3052,003535
2616,2872,003535
2582,3002,003535
2762,2942,003535
2646,3020,003535
2984,3024,003535
3072,4088,003535
2984,4014,003535
2144,4070,003535
2172,3844,003535
2220,3672,003535
2348,3890,003535
2510,3904,003535
2902,3620,003535
3020,3742,003535
2684,3694,003535
2210,3788,003535
2586,3686,003535
2382,3620,003535
2074,3600,003535
2132,3562,003535
2512,3590,003535
2104,3760,003535
2392,3534,003535
2756,4088,003535
2296,3748,003535
2742,3986,003535
2080,4034,003535
2730,3814,003535
2628,3930,003535
2964,3862,003535
2214,4034,003535
2526,3802,003535
2860,3914,003535
2476,4018,003535
2368,3758,003535
3072,3806,003535
2480,3666,003535
3022,3894,003535
2604,3766,003535
2414,3906,003535
2894,3976,003535
3068,3628,003535
2658,4082,003535
2568,3976,003535
2716,3862,003535
2870,3810,003535
2290,4070,003535
2630,3826,003535
2144,3946,003535
2992,3590,003535
2782,3724,003535
2232,3932,003535
2958,3628,003535
2894,3682,003535
2048,3884,003535
2704,3616,003535
2778,3584,003535
2596,3556,003535
2658,3510,003535
2856,3514,003535
2784,3466,003535
2992,3488,003535
2912,3442,003535
3026,3406,003535
3072,3338,003535
2920,3320,003535
3072,3114,003535
3032,3098,003535
3018,3174,003535
2926,3144,003535
2926,3212,003535
2838,3072,003535
2826,3168,003535
2864,3216,003535
2830,3284,003535
2804,3358,003535
2686,3410,003535
2756,3230,003535
2742,3072,003535
2720,3192,003535
2632,3096,003535
2692,3152,003535
2654,3284,003535
2560,3110,003535
2556,3402,003535
2432,3476,003535
2460,3414,003535
2534,3326,003535
2584,3234,003535
2484,3278,003535
2494,3208,003535
2436,3102,003535
2426,3204,003535
2334,3176,003535
2292,3154,003535
2220,3076,003535
2318,3318,003535
2322,3386,003535
2302,3454,003535
2212,3450,003535
2096,3494,003535
2214,3280,003535
2168,3348,003535
2066,3384,003535
2160,3144,003535
2100,3092,003535
2112,3228,003535
2062,3280,003535
3122,1374,003535
3108,1966,003535
3412,1634,003535
3388,1486,003535
3148,2048,003535
3212,1924,003535
3284,1996,003535
3620,2048,003535
3706,1776,003535
3866,2014,003535
4096,1938,003535
4062,2024,003535
3528,1994,003535
3752,2026,003535
3972,2048,003535
4080,1814,003535
3090,1800,003535
3324,1818,003535
3072,1656,003535
3710,1676,003535
3522,1748,003535
3582,1824,003535
3486,1836,003535
3928,1844,003535
3976,1758,003535
3834,1918,003535
3614,1702,003535
3352,1692,003535
3210,1614,003535
3518,1658,003535
3624,1466,003535
3806,1530,003535
3756,1306,003535
3786,1180,003535
3438,1024,003535
4044,2870,003535
3784,3072,003535
3384,2794,003535
3174,2856,003535
3292,2866,003535
3236,2956,003535
3490,2806,003535
3610,3030,003535
3454,3034,003535
3338,3034,003535
3184,3022,003535
3986,2996,003535
3384,2940,003535
3888,3072,003535
3862,2944,003535
3782,2858,003535
3936,2860,003535
4096,2832,003535
4096,2712,003535
4040,2604,003535
4028,2222,003535
3972,2140,003535
3888,2580,003535
3886,2710,003535
4042,2326,003535
3560,2784,003535
3632,2618,003535
3804,2516,003535
3710,2602,003535
3176,2752,003535
3072,2744,003535
3072,2846,003535
3288,2690,003535
3348,2700,003535
3242,2614,003535
3180,2566,003535
3130,2616,003535
3326,2580,003535
3520,2550,003535
3498,2612,003535
3408,2494,003535
3532,2440,003535
4010,2396,003535
3892,2270,003535
3754,2230,003535
3668,2170,003535
3844,2124,003535
3632,2064,003535
3516,2288,003535
3620,2320,003535
3742,2294,003535
3710,2414,003535
3854,2422,003535
3956,2342,003535
3412,2126,003535
3308,2066,003535
3126,2166,003535
3112,2068,003535
3394,2280,003535
3512,2148,003535
3590,2200,003535
3314,2272,003535
3172,2502,003535
3214,2380,003535
3154,2326,003535
3072,2436,003535
3224,2306,003535
3390,2384,003535
3270,2444,003535
3324,2340,003535
3956,2048,003535
3316,2442,003535
3544,2388,003535
3744,3994,003535
3992,4096,003535
3862,4012,003535
4080,3880,003535
4030,3832,003535
4044,3980,003535
3602,4074,003535
3480,3970,003535
3690,4092,003535
3524,4050,003535
3436,4082,003535
3276,4096,003535
3154,4002,003535
3330,4020,003535
3198,4084,003535
3372,4096,003535
3402,3878,003535
3254,3826,003535
3308,3872,003535
3202,3898,003535
3108,3964,003535
3692,3954,003535
3612,3970,003535
3164,3742,003535
3774,3878,003535
3208,3796,003535
3844,3862,003535
3952,3708,003535
4024,3752,003535
3902,3792,003535
3488,3788,003535
3750,3748,003535
3592,3810,003535
3310,3770,003535
3412,3734,003535
3502,3676,003535
3712,3636,003535
3640,3696,003535
3304,3644,003535
3116,3622,003535
3210,3668,003535
3228,3608,003535
3486,3596,003535
3318,3532,003535
3390,3486,003535
3144,3490,003535
3072,3370,003535
3180,3446,003535
3824,3644,003535
3640,3566,003535
3676,3480,003535
3566,3466,003535
3486,3502,003535
3428,3414,003535
4036,3532,003535
3950,3520,003535
3842,3502,003535
3934,3432,003535
4042,3290,003535
4094,3284,003535
4042,3124,003535
3932,3146,003535
3824,3174,003535
3804,3118,003535
3720,3378,003535
3576,3404,003535
3482,3352,003535
3654,3208,003535
3584,3254,003535
3478,3136,003535
3486,3234,003535
3422,3286,003535
3308,3370,003535
3240,3404,003535
3306,3316,003535
3376,3194,003535
3344,3148,003535
3138,3320,003535
3184,3264,003535
3210,3168,003535
3190,3104,003535
3090,3154,003535
2006,1974,003570
1874,2048,003570
1078,1998,003570
1064,1806,003570
1762,2024,003570
2048,2048,003570
1302,1756,003570
1204,1852,003570
1498,1958,003570
1836,1780,003570
1298,1648,003570
1042,1578,003570
1826,1900,003570
1748,1848,003570
1846,1688,003570
1388,1876,003570
1476,1708,003570
1398,1666,003570
1942,1934,003570
1984,1650,003570
1822,1604,003570
1740,1574,003570
1506,1566,003570
1106,1458,003570
1396,1476,003570
1340,1382,003570
1458,1422,003570
1696,1428,003570
1930,1550,003570
2048,1516,003570
2028,1376,003570
1916,1436,003570
1828,1438,003570
1972,1292,003570
1842,1286,003570
1788,1330,003570
1684,1366,003570
1562,1304,003570
1518,1260,003570
1398,1280,003570
1880,1154,003570
1930,1192,003570
1974,1154,003570
1986,1042,003570
2026,1144,003570
2038,1104,003570
1922,1024,003570
1868,1076,003570
1742,1026,003570
1712,1116,003570
1752,1210,003570
1658,1240,003570
1600,1096,003570
1422,1086,003570
1324,1058,003570
1288,1142,003570
1128,1056,003570
1088,1190,003570
1124,2150,003570
1222,2236,003570
1418,2178,003570
1540,2124,003570
1126,2324,003570
1256,2344,003570
1480,2374,003570
1368,2472,003570
1500,2462,003570
1676,2488,003570
1666,2176,003570
1752,2140,003570
1852,2118,003570
1866,2248,003570
1962,2090,003570
1158,2486,003570
1100,2592,003570
1238,2590,003570
1116,2666,003570
1164,2698,003570
1260,2720,003570
1426,2670,003570
1370,2600,003570
1482,2540,003570
1526,2598,003570
1584,2562,003570
1656,2306,003570
1914,2366,003570
1984,2528,003570
1864,2532,003570
1764,2468,003570
1746,2622,003570
1162,2836,003570
1390,2758,003570
1318,2816,003570
1570,2796,003570
1624,2732,003570
1558,2666,003570
1772,2790,003570
1686,2848,003570
1984,2768,003570
1162,2932,003570
1224,3020,003570
1294,2938,003570
1404,2982,003570
1366,2896,003570
1538,2896,003570
1522,2986,003570
1708,2980,003570
1786,3006,003570
1824,2894,003570
1900,2960,003570
2018,2908,003570
1950,2606,003570
1860,2658,003570
1702,2704,003570
1822,2346,003570
1128,3078,003570
1284,3158,003570
1114,3248,003570
1414,3222,003570
1348,3298,003570
1216,3302,003570
1250,3230,003570
1454,3122,003570
1490,3266,003570
1576,3232,003570
1614,3182,003570
1548,3108,003570
1664,3102,003570
1108,3374,003570
1028,3414,003570
1056,3274,003570
