nombre,sexo,partido,escolaridad,area
Sen. Emilio Álvarez Icaza Longoria,H,Otra,Posgrado,Ciencias Politicas
Sen. Gustavo Enrique Madero Muñoz,H,Otra,Posgrado,Comunicacion
Sen. Germán Martínez Cázares,H,Otra,Posgrado,Derecho
Sen. Raúl Bolaños-Cacho Cué,H,PV,Licenciatura,Derecho
Sen. Manuel Velasco Coello,H,PV,Licenciatura,Derecho
Sen. Rogelio Israel Zamora Guzmán,H,PV,Licenciatura,Derecho
Sen. Juan Manuel Fócil Pérez,H,PRD,Licenciatura,Economia
Sen. Antonio García Conejo,H,PRD,Posgrado,Derecho
Sen. Miguel Ángel Mancera Espinosa,H,PRD,Posgrado,Derecho
Sen. Miguel Ángel Lucero Olivas,H,PT,Otra,Otra
Sen. Joel Padilla Peña,H,PT,Licenciatura,Derecho
Sen. Luis David Ortíz Salinas,H,MC,Posgrado,Administracion
Sen. Juan Zepeda,H,MC,Posgrado,Derecho
Sen. Clemente Castañeda Hoeflich,H,MC,Posgrado,Ciencias Politicas
Sen. Noé Castañón,H,MC,Posgrado,Ciencias Politicas
Sen. Dante Delgado,H,MC,Licenciatura,Derecho
Sen. Marco Antonio Gama Basarte,H,MC,Posgrado,Politica
Sen. Miguel Ángel Osorio Chong,H,PRI,Licenciatura,Derecho
Sen. Jorge Carlos Ramírez Marín,H,PRI,Licenciatura,Derecho
Sen. Mario Zamora Gastélum,H,PRI,Posgrado,Economia
Sen. Carlos Humberto Aceves del Olmo,H,PRI,Licenciatura,Economia
Sen. Manuel Añorve Baños,H,PRI,Posgrado,Derecho
Sen. Eruviel Ávila Villegas,H,PRI,Posgrado,Derecho
Sen. Ángel García Yáñez,H,PRI,Otra,Media
Sen. Damián Zepeda Vidales,H,PAN,Posgrado,Administracion
Sen. Juan Francisco Larios Esparza,H,PAN,Otra,Otra
Sen. Roberto Juan Moya Clemente,H,PAN,Licenciatura,Administracion
Sen. Raúl Paz Alonzo,H,PAN,Licenciatura,Economia
Sen. Julen Rementería del Puerto,H,PAN,Licenciatura,Administracion
Sen. José Erandi Bermúdez Méndez,H,PAN,Licenciatura,Ingenieria
Sen. José Alfredo Botello Montes,H,PAN,Licenciatura,Derecho
Sen. Víctor Oswaldo Fuentes Solís,H,PAN,Posgrado,Ciencias Politicas
Sen. Ismael García Cabeza de Vaca,H,PAN,Licenciatura,Economia
Sen. Navor Alberto Rojas Mancera,H,MORENA,Licenciatura,Ciencias Politicas
Sen. Héctor Vasconcelos,H,MORENA,Posgrado,Ciencias Politicas
Sen. Ricardo Velázquez Meza,H,MORENA,Posgrado,Derecho
Sen. Ernesto Pérez Astorga,H,MORENA,Licenciatura,Administracion
Sen. Sergio Pérez Flores,H,MORENA,Posgrado,Administracion
Sen. Juan Quiñonez Ruiz,H,MORENA,Licenciatura,Ingenieria
Sen. Oscar Eduardo Ramírez Aguilar,H,MORENA,Posgrado,Ciencias Politicas
Sen. Arturo del Carmen Moo Cahuich,H,MORENA,Otra,Otra
Sen. José Narro Céspedes,H,MORENA,Licenciatura,Salud
Sen. José Alejandro Peña Villa,H,MORENA,Licenciatura,Ciencias Politicas
Sen. Ovidio Salvador Peralta Suárez,H,MORENA,Posgrado,Administracion
Sen. Rogelio Márquez Valdivia,H,MORENA,Otra,Otra
Sen. Higinio Martínez Miranda,H,MORENA,Licenciatura,Salud
Sen. Casimiro Méndez Ortiz,H,MORENA,Posgrado,Educacion
Sen. Ricardo Monreal Ávila,H,MORENA,Posgrado,Derecho
Sen. Daniel Gutiérrez Castorena,H,MORENA,Posgrado,Ciencias Politicas
Sen. Gilberto Herrera Ruiz,H,MORENA,Posgrado,Ingenieria
Sen. Saúl López Sollano,H,MORENA,Posgrado,Ciencias
Sen. Faustino López Vargas,H,MORENA,Otra,Otra
Sen. Rafael Espino de la Peña,H,MORENA,Otra,Otra
Sen. Adolfo Gómez Hernández,H,MORENA,Licenciatura,Ingenieria
Sen. Napoleón Gómez Urrutia,H,MORENA,Posgrado,Economia
Sen. Santana Armando Guadiana Tijerina,H,MORENA,Posgrado,Ciencias
Sen. Arturo Bours Griffith,H,MORENA,Otra,Media
Sen. Elí César Eduardo Cervantes Rojas,H,MORENA,Licenciatura,Educacion
Sen. César Arnulfo Cravioto Romero,H,MORENA,Licenciatura,Comunicacion
Sen. Raúl de Jesús Elenes Angulo,H,MORENA,Otra,Media
Sen. José Antonio Cruz Álvarez Lima,H,MORENA,Licenciatura,Ciencias Politicas
Sen. Cristóbal Arias Solís,H,MORENA,Licenciatura,Derecho
Sen. Alejandro Armenta Mier,H,MORENA,Posgrado,Ciencias Politicas
Sen. Jaime Bonilla Valdez,H,MORENA,Posgrado,Ciencias Politicas
Sen. Nancy De la Sierra Arámburo,M,Otra,Licenciatura,Comunicacion
Sen. Adriana Guadalupe Jurado Valadez,M,Otra,Otra,Otra
Sen. Alejandra del Carmen León Gastélum,M,Otra,Posgrado,Ciencias
Sen. Katya Elizabeth Ávila Vázquez,M,ES,Otra,Media
Sen. Sasil De León Villard,M,ES,Licenciatura,Ciencias Politicas
Sen. Marcela Mora,M,ES,Licenciatura,Humanidades
Sen. Eunice Renata Romo Molina,M,ES,Licenciatura,Humanidades
Sen. Gabriela Benavides Cobos,M,PV,Licenciatura,Derecho
Sen. María Graciela Gaitán Díaz,M,PV,Licenciatura,Educacion
Sen. Alejandra Lagunes Soto Ruíz,M,PV,Licenciatura,Comunicacion
Sen. Geovanna Bañuelos,M,PT,Posgrado,Arquitectura
Sen. Cora Cecilia Pinedo Alonso,M,PT,Licenciatura,Educacion
Sen. Verónica Delgadillo García,M,MC,Licenciatura,Comunicacion
Sen. Indira Kempis Martínez,M,MC,Posgrado,Ciencias Politicas
Sen. Patricia Mercado,M,MC,Licenciatura,Economia
Sen. Beatriz Elena Paredes Rangel,M,PRI,Licenciatura,Ciencias Politicas
Sen. Claudia Ruiz Massieu Salinas,M,PRI,Posgrado,Derecho
Sen. Claudia Edith Anaya Mota,M,PRI,Posgrado,Ciencias Politicas
Sen. Sylvana Beltrones Sánchez,M,PRI,Licenciatura,Derecho
Sen. Verónica Martínez García,M,PRI,Posgrado,Ciencias Politicas
Sen. Nuvia Magdalena Mayorga Delgado,M,PRI,Posgrado,Ciencias Politicas
Sen. Josefina Vázquez Mota,M,PAN,Licenciatura,Economia
Sen. Estrella Rojas Loreto,M,PAN,Posgrado,Derecho
Sen. Indira de Jesús Rosales San Román,M,PAN,Posgrado,Derecho
Sen. María Guadalupe Saldaña Cisneros,M,PAN,Licenciatura,Educacion
Sen. Lilly Téllez,M,PAN,Licenciatura,Comunicacion
Sen. Mayuli Latifa Martínez Simón,M,PAN,Licenciatura,Derecho
IL Sen. Nadia Navarro Acevedo,M,PAN,Posgrado,Derecho
Sen. Gloria Elizabeth Núñez Sánchez,M,PAN,Posgrado,Ciencias Politicas
Sen. Alejandra Noemí Reynoso Sánchez,M,PAN,Licenciatura,Comunicacion
Sen. Gina Andrea Cruz Blackledge,M,PAN,Licenciatura,Derecho
Sen. Xóchitl Gálvez Ruiz,M,PAN,Licenciatura,Ingenieria
Sen. Minerva Hernández Ramos,M,PAN,Posgrado,Economia
Sen. Kenia López Rabadán,M,PAN,Posgrado,Ciencias Politicas
Sen. Gricelda Valencia de la Mora,M,MORENA,Licenciatura,Educacion
Sen. Antares Guadalupe Vázquez Alatorre,M,MORENA,Posgrado,Educacion
Sen. Gloria Sánchez Hernández,M,MORENA,Licenciatura,Educacion
Sen. María Celeste Sánchez Sugía,M,MORENA,Licenciatura,Humanidades
Sen. Jesús Lucía Trasviña Waldenrath,M,MORENA,Licenciatura,Derecho
Sen. Lilia Margarita Valdez Martínez,M,MORENA,Licenciatura,Salud
Sen. Nestora Salgado García,M,MORENA,Otra,Media
Sen. Nancy Guadalupe Sánchez Arredondo,M,MORENA,Licenciatura,Humanidades
Sen. Olga María del Carmen Sánchez Cordero Dávila,M,MORENA,Licenciatura,Derecho
Sen. Cecilia Margarita Sánchez García,M,MORENA,Licenciatura,Economia
Sen. Martha Lucía Micher Camarena,M,MORENA,Licenciatura,Educacion
Sen. Mónica Montero Cuellar,M,MORENA,Otra,Otra
