personaje,ganados,perdidos,win_ratio,categoria,etiqueta
Banjo-Kazooie,22869,20704,1.10456916537867,Ganadores,1.1 Banjo-Kazooie
Bayonetta,14194,11867,1.19608999747198,Ganadores,1.2 Bayonetta
Bowser,47202,45584,1.03549491049491,Ganadores,1.04 Bowser
Bowser Jr.,14481,12062,1.20054717293981,Ganadores,1.2 Bowser Jr.
Byleth,9260,12094,0.765668926740532,Perdedores,0.77 Byleth
Captain Falcon,22080,25694,0.859344594068654,Perdedores,0.86 Captain Falcon
Chrom,14467,16146,0.896011396011396,Perdedores,0.9 Chrom
Cloud,44914,46983,0.95596279505353,Perdedores,0.96 Cloud
Corrin,6872,9317,0.737576473113663,Perdedores,0.74 Corrin
Daisy,3926,4019,0.976859915401841,Perdedores,0.98 Daisy
Dark Pit,7237,9003,0.803843163389981,Perdedores,0.8 Dark Pit
Dark Samus,9614,8253,1.16490972979523,Ganadores,1.16 Dark Samus
Diddy Kong,10782,10196,1.05747351902707,Ganadores,1.06 Diddy Kong
Donkey Kong,31079,28206,1.10185776076012,Ganadores,1.1 Donkey Kong
Dr. Mario,10891,9484,1.14835512442008,Ganadores,1.15 Dr. Mario
Duck Hunt,8761,7781,1.12594782161676,Ganadores,1.13 Duck Hunt
Falco,10386,14346,0.72396486825596,Perdedores,0.72 Falco
Fox,12988,16207,0.801382118837539,Perdedores,0.8 Fox
Ganondorf,25026,26080,0.959585889570552,Perdedores,0.96 Ganondorf
Greninja,20181,19743,1.02218507825558,Ganadores,1.02 Greninja
Hero,18197,18865,0.964590511529287,Perdedores,0.96 Hero
Ice Climbers,7228,6628,1.09052504526252,Ganadores,1.09 Ice Climbers
Ike,24886,21829,1.14004306198177,Ganadores,1.14 Ike
Incineroar,11271,11828,0.952908353060534,Perdedores,0.95 Incineroar
Inkling,41574,40813,1.0186460196506,Ganadores,1.02 Inkling
Isabelle,10567,10371,1.01889885256967,Ganadores,1.02 Isabelle
Jigglypuff,19766,24827,0.796149353526403,Perdedores,0.8 Jigglypuff
Joker,41302,55959,0.738076091424078,Perdedores,0.74 Joker
Ken,14717,11047,1.33221689146375,Ganadores,1.33 Ken
King Dedede,24045,20366,1.1806442109398,Ganadores,1.18 King Dedede
King K. Rool,22075,21548,1.02445702617412,Ganadores,1.02 King K. Rool
Kirby,14224,17025,0.835477239353891,Perdedores,0.84 Kirby
Link,27925,28321,0.986017442886904,Perdedores,0.99 Link
Little Mac,18387,18392,0.999728142670726,Perdedores,1 Little Mac
Lucario,6285,7378,0.85185687178097,Perdedores,0.85 Lucario
Lucas,20033,21426,0.934985531597125,Perdedores,0.93 Lucas
Lucina,24894,35810,0.695168947221447,Perdedores,0.7 Lucina
Luigi,31052,25722,1.20721561309385,Ganadores,1.21 Luigi
Mario,29542,32741,0.902293760117284,Perdedores,0.9 Mario
Marth,6162,9488,0.649451939291737,Perdedores,0.65 Marth
Mega Man,14268,11831,1.20598427859014,Ganadores,1.21 Mega Man
Meta Knight,5019,5236,0.95855614973262,Perdedores,0.96 Meta Knight
Mewtwo,5814,7766,0.748647952613958,Perdedores,0.75 Mewtwo
Mii Brawler,5608,6239,0.898861997114922,Perdedores,0.9 Mii Brawler
Mii Gunner,7770,6662,1.16631642149505,Ganadores,1.17 Mii Gunner
Mii Swordfighter,7688,7119,1.07992695603315,Ganadores,1.08 Mii Swordfighter
Min Min,4263,3618,1.17827529021559,Ganadores,1.18 Min Min
Mr. Game and Watch,23617,23526,1.00386806086883,Ganadores,1 Mr. Game and Watch
Ness,48381,45026,1.07451250388664,Ganadores,1.07 Ness
Olimar,4331,4673,0.926813610100578,Perdedores,0.93 Olimar
Pac-Man,23766,20514,1.15852588476163,Ganadores,1.16 Pac-Man
Palutena,46967,43335,1.08381216107073,Ganadores,1.08 Palutena
Peach,13187,12272,1.07455997392438,Ganadores,1.07 Peach
Pichu,13740,14068,0.976684674438442,Perdedores,0.98 Pichu
Pikachu,25979,28607,0.908134372705981,Perdedores,0.91 Pikachu
Piranha Plant,14519,15130,0.959616655651024,Perdedores,0.96 Piranha Plant
Pit,5160,5930,0.870151770657673,Perdedores,0.87 Pit
Pokemon Trainer,43164,44944,0.960395158419366,Perdedores,0.96 Pokemon Trainer
R.O.B.,41182,31475,1.30840349483717,Ganadores,1.31 R.O.B.
Random,10205,10988,0.928740444120859,Perdedores,0.93 Random
