nave,total_apariciones,apariciones_ep1,apariciones_ep2,apariciones_ep3,apariciones_ep4,apariciones_ep5,apariciones_ep6
Death Star,291,223,0,68,NA,NA,NA
Millennium Falcon,181,64,99,18,NA,NA,NA
X-wing,123,92,22,9,NA,NA,NA
TIE Advanced x1,119,82,24,13,NA,NA,NA
Star Destroyer,95,6,62,27,NA,NA,NA
Bantha-II cargo skiff,44,NA,NA,44,NA,NA,NA
TIE bomber,37,NA,24,13,NA,NA,NA
Snowspeeder,36,NA,36,NA,NA,NA,NA
Jedi starfighter,29,NA,NA,NA,NA,3,26
Y-wing,27,24,0,3,NA,NA,NA
Imperial shuttle,18,NA,2,16,NA,NA,NA
Sail barge,15,NA,NA,15,NA,NA,NA
Rebel transport,14,NA,7,3,4,NA,NA
Sand Crawler,14,14,NA,NA,NA,NA,NA
Storm IV Twin-Pod cloud car,14,NA,6,0,NA,NA,8
Calamari Cruiser,13,NA,10,3,NA,NA,NA
Naboo fighter,12,NA,NA,NA,10,2,NA
EF76 Nebulon-B escort frigate,10,NA,4,6,NA,NA,NA
Imperial Speeder Bike,9,NA,NA,9,NA,NA,NA
X-34 landspeeder,8,8,NA,NA,NA,NA,NA
Armored Assault Tank,7,NA,NA,NA,7,NA,NA
Multi-Troop Transport,6,NA,NA,NA,6,NA,NA
CR90 corvette,4,3,0,1,NA,NA,NA
T-16 skyhopper,4,4,NA,NA,NA,NA,NA
C-9979 landing craft,4,NA,NA,NA,4,NA,NA
Republic Cruiser,3,NA,NA,NA,3,NA,NA
Single Trooper Aerial Platform,3,NA,NA,NA,3,NA,NA
Trade Federation cruiser,2,NA,NA,NA,NA,2,NA
Sith speeder,2,NA,NA,NA,2,NA,NA
Oevvaor jet catamaran,2,NA,NA,NA,NA,NA,2
Corporate Alliance tank droid,2,NA,NA,NA,NA,NA,2
Emergency Firespeeder,1,NA,NA,NA,NA,NA,1
Droid tri-fighter,1,NA,NA,NA,NA,NA,1
Clone turbo tank,1,NA,NA,NA,NA,NA,1
Droid gunship,1,NA,NA,NA,NA,NA,1
