"empleo","fecha","sueldo_promedio"
"Drs., Enfermeros y otros","2016-Q1",7581.1755400636
"Drs., Enfermeros y otros","2017-Q1",6869.22320603183
"Drs., Enfermeros y otros","2018-Q1",7332.08518395426
"Drs., Enfermeros y otros","2019-Q1",7757.16882992939
"Drs., Enfermeros y otros","2020-Q1",8365.65474289595
"Drs., Enfermeros y otros","2021-Q1",8763.81101582597
"Inv. y Esp. Ciencias y Tec.","2016-Q1",7527.43415340215
"Inv. y Esp. Ciencias y Tec.","2017-Q1",7489.40935355176
"Inv. y Esp. Ciencias y Tec.","2018-Q1",7171.21549860595
"Inv. y Esp. Ciencias y Tec.","2019-Q1",7365.93561189916
"Inv. y Esp. Ciencias y Tec.","2020-Q1",8687.12929319629
"Inv. y Esp. Ciencias y Tec.","2021-Q1",8736.93754808198
"Analista financiero","2016-Q1",9173.60077188135
"Analista financiero","2017-Q1",11204.0384379206
"Analista financiero","2018-Q1",14587.5086211341
"Analista financiero","2019-Q1",9546.40454342328
"Analista financiero","2020-Q1",11239.2380930547
"Analista financiero","2021-Q1",11292.7771660015
"Directivo financiero","2016-Q1",8557.76699185496
"Directivo financiero","2017-Q1",8695.4619646386
"Directivo financiero","2018-Q1",10475.0307037323
"Directivo financiero","2019-Q1",12772.6233601056
"Directivo financiero","2020-Q1",11306.1947411379
"Directivo financiero","2021-Q1",9738.24582195812
"Agente de Seguros","2016-Q1",5440.43426396272
"Agente de Seguros","2017-Q1",5836.82817614063
"Agente de Seguros","2018-Q1",5300.27622513106
"Agente de Seguros","2019-Q1",5948.88184092742
"Agente de Seguros","2020-Q1",6163.09502503452
"Agente de Seguros","2021-Q1",7210.60134083575
"Policia y transito","2016-Q1",6676.30608218542
"Policia y transito","2017-Q1",6553.41190269183
"Policia y transito","2018-Q1",6539.40835218585
"Policia y transito","2019-Q1",6769.20933768163
"Policia y transito","2020-Q1",7708.88518653998
"Policia y transito","2021-Q1",7900.03187160387
"Mineria","2016-Q1",5961.25328289333
"Mineria","2017-Q1",5400.7320666426
"Mineria","2018-Q1",6628.7743921413
"Mineria","2019-Q1",6245.37693738302
"Mineria","2020-Q1",6844.47412433169
"Mineria","2021-Q1",8051.27274026217
"Tacos y fastfood","2016-Q1",3507.13803296321
"Tacos y fastfood","2017-Q1",3810.15941286508
"Tacos y fastfood","2018-Q1",3588.61245049658
"Tacos y fastfood","2019-Q1",4177.17923847486
"Tacos y fastfood","2020-Q1",4399.14444021162
"Tacos y fastfood","2021-Q1",4307.48746365814
"Albanileria","2016-Q1",5605.82670419319
"Albanileria","2017-Q1",5935.43671349773
"Albanileria","2018-Q1",6030.77480175256
"Albanileria","2019-Q1",6432.09103865374
"Albanileria","2020-Q1",6860.0282179958
"Albanileria","2021-Q1",6911.30230863705
"Tec. Elec. y TI","2016-Q1",5652.70699507555
"Tec. Elec. y TI","2017-Q1",5269.51947964605
"Tec. Elec. y TI","2018-Q1",5805.83049168074
"Tec. Elec. y TI","2019-Q1",6013.30108675881
"Tec. Elec. y TI","2020-Q1",6421.42216224591
"Tec. Elec. y TI","2021-Q1",6047.79821612793
"Inv. y Esp. Biologia, quim.","2016-Q1",9747.22346125143
"Inv. y Esp. Biologia, quim.","2017-Q1",7983.34211695378
"Inv. y Esp. Biologia, quim.","2018-Q1",7427.3990784871
"Inv. y Esp. Biologia, quim.","2019-Q1",6961.4028601759
"Inv. y Esp. Biologia, quim.","2020-Q1",9227.93865218124
"Inv. y Esp. Biologia, quim.","2021-Q1",8841.03182105591
"Agente de viajes","2016-Q1",5152.74514145685
"Agente de viajes","2017-Q1",4499.88211327628
"Agente de viajes","2018-Q1",6309.05871989888
"Agente de viajes","2019-Q1",6012.65191248711
"Agente de viajes","2020-Q1",6349.03444604784
"Agente de viajes","2021-Q1",7253.99336062492
