mineral	anio	toneladas
Aluminium	2020	65409336
Aluminium	2021	67493343
Aluminium	2022	68813782
Aluminium	2023	70661362
Aluminium	2024	73394061
Antimony	2020	120453
Antimony	2021	92541
Antimony	2022	91595
Antimony	2023	117433
Antimony	2024	141231
Arsenic	2020	52298
Arsenic	2021	55700
Arsenic	2022	57404
Arsenic	2023	64402
Arsenic	2024	62768
Bauxite	2020	379030232
Bauxite	2021	376445359
Bauxite	2022	398521056
Bauxite	2023	391245008
Bauxite	2024	414033986
Beryllium	2020	6240
Beryllium	2021	6561
Beryllium	2022	6975
Beryllium	2023	7832
Beryllium	2024	9679
Bismuth	2020	9513
Bismuth	2021	11116
Bismuth	2022	10266
Bismuth	2023	10040
Bismuth	2024	7349
Cadmium	2020	25540
Cadmium	2021	25528
Cadmium	2022	22611
Cadmium	2023	24226
Cadmium	2024	23146
Copper	2020	21056157
Copper	2021	21422563
Copper	2022	21988103
Copper	2023	22404392
Copper	2024	22911145
Gallium	2020	304
Gallium	2021	431
Gallium	2022	616
Gallium	2023	713
Gallium	2024	987
Germanium	2020	96
Germanium	2021	142
Germanium	2022	139
Germanium	2023	163
Germanium	2024	150
Indium	2020	944
Indium	2021	917
Indium	2022	997
Indium	2023	978
Indium	2024	1020
Lead	2020	4692777
Lead	2021	4597548
Lead	2022	4691842
Lead	2023	4731240
Lead	2024	4783978
Lithium	2020	187000
Lithium	2021	234726
Lithium	2022	353195
Lithium	2023	499736
Lithium	2024	601914
Mercury	2020	2308
Mercury	2021	1810
Mercury	2022	1015
Mercury	2023	1063
Mercury	2024	1202
Rare Earths	2020	229892
Rare Earths	2021	269503
Rare Earths	2022	299527
Rare Earths	2023	394221
Rare Earths	2024	398008
Rhenium	2020	38
Rhenium	2021	41
Rhenium	2022	52
Rhenium	2023	73
Rhenium	2024	77
Selenium	2020	3397
Selenium	2021	3816
Selenium	2022	3833
Selenium	2023	4023
Selenium	2024	4237
Tellurium	2020	459
Tellurium	2021	742
Tellurium	2022	681
Tellurium	2023	917
Tellurium	2024	958
Tin	2020	278069
Tin	2021	263786
Tin	2022	284674
Tin	2023	299901
Tin	2024	282124
Zinc	2020	12697927
Zinc	2021	12856622
Zinc	2022	12734159
Zinc	2023	12513727
Zinc	2024	12281625
