Commodity	2020	2021	2022	2023	2024
Aluminium	65409336	67493343	68813782	70661362	73394061
Antimony	120453	92541	91595	117433	141231
Arsenic	52298	55700	57404	64402	62768
Bauxite	379030232	376445359	398521056	391245008	414033986
Beryllium	6240	6561	6975	7832	9679
Bismuth	9513	11116	10266	10040	7349
Cadmium	25540	25528	22611	24226	23146
Copper	21056157	21422563	21988103	22404392	22911145
Gallium	304	431	616	713	987
Germanium	96	142	139	163	150
Indium	944	917	997	978	1020
Lead	4692777	4597548	4691842	4731240	4783978
Lithium	187000	234726	353195	499736	601914
Mercury	2308	1810	1015	1063	1202
Rare Earths	229892	269503	299527	394221	398008
Rhenium	38	41	52	73	77
Selenium	3397	3816	3833	4023	4237
Tellurium	459	742	681	917	958
Tin	278069	263786	284674	299901	282124
Zinc	12697927	12856622	12734159	12513727	12281625
